,SPX Equity,NVDA US Equity,AMD US Equity,IGLN LN Equity,MINE LN Equity,CBUK GY Equity,FXAC NA Equity,2899 HK Equity,AAPL US Equity,LLY US Equity,JNJ US Equity,PFE US Equity,OGN US Equity,3750 HK Equity,META US Equity,GOOGL US Equity,AIR FP Equity,BA US Equity,RR/ LN Equity,BA/ LN Equity,MDT US Equity,EMB US Equity,CBU0 LN Equity,PG US Equity,AMZN US Equity,NEXT US Equity,SO US Equity,JEMA LN Equity,EMIRATES UH Equity,KO US Equity,CON GR Equity,NFLX US Equity,SBUX US Equity,JGB1X SW Equity,USDCNY Equity,USDJPY Equity,USDHKD Equity,GBPUSD Equity,EURUSD Equity
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2013-11-14,3022.962,0.4055,3.52,25.6462,,,,1.77,18.8629,51.03,93.92,30.3344,,,48.99,25.906,52.74,135.09,423.812,454.2,58.84,108.352,125.77,84.32,18.37,,42.36,542.0,4.97,40.21,99.117,48.939,40.57,,6.0921,100.01,7.7537,1.6066,1.3461
2013-11-15,3003.258,0.4043,3.5,25.5938,,,,1.84,18.7497,51.01,94.39,30.524,,,49.01,25.864,51.95,136.08,420.038,449.0,58.55,108.9,125.64,84.84,18.459,,42.42,545.25,,40.22,99.418,49.966,40.595,,6.0925,100.19,7.7539,1.6118,1.3496
2013-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.989,,,,,,,,,,
2013-11-18,2991.851,0.3945,3.47,25.38,,,,1.87,18.5225,51.03,94.3,30.3438,,,45.83,25.814,53.21,138.36,423.126,446.1,58.31,109.44,125.98,84.57,18.309,,42.33,539.0,5.047,40.17,99.15,48.824,40.27,,6.0924,99.99,7.7522,1.6109,1.3506
2013-11-19,2997.036,0.386,3.42,25.3713,,,,1.85,18.5554,50.94,94.86,30.0121,,,46.36,25.655,52.36,136.98,423.812,441.0,57.94,108.58,125.82,84.34,18.247,,42.07,540.0,5.085,40.14,99.251,48.184,39.96,,6.0925,100.14,7.7516,1.612,1.3538
2013-11-20,3001.184,0.3803,3.42,25.07,,,,1.84,18.3929,50.67,95.15,30.2585,,,46.43,25.583,52.18,132.45,425.185,434.4,56.89,108.28,125.79,84.69,18.129,,41.4,536.5,5.181,40.06,98.114,48.503,39.845,,6.0932,100.03,7.7516,1.6105,1.3439
2013-11-21,2985.629,0.3833,3.37,24.6938,,,,1.8,18.612,50.49,95.2,30.3059,,,46.7,25.877,51.41,132.93,422.783,428.9,57.1,108.16,125.1,84.67,18.446,,41.37,530.0,5.095,40.43,98.449,49.786,40.765,,6.0928,101.16,7.7525,1.6199,1.3482
2013-11-22,2985.629,0.3795,3.34,24.7613,,,,1.8,18.5643,51.23,95.25,30.4481,,,46.23,25.822,51.74,135.97,424.842,430.8,57.6,108.39,125.31,84.95,18.616,,41.23,530.0,,40.43,100.253,49.693,40.675,,6.0935,101.27,7.7531,1.6226,1.3558
2013-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,,,,,,,,,,
2013-11-25,3022.962,0.3878,3.39,24.6488,,,,1.81,18.705,51.34,95.63,30.4671,,,44.82,26.174,52.23,133.0,424.842,432.3,57.28,109.27,125.54,85.41,18.832,,41.0,531.0,4.95,40.37,102.592,50.034,40.355,,6.0927,101.67,7.7526,1.6155,1.3517
2013-11-26,3016.74,0.391,3.45,24.7075,,,,1.8,19.05,50.54,95.06,30.2301,,,45.89,26.486,51.53,134.78,424.842,429.7,57.36,109.12,125.86,84.64,19.069,,40.73,525.0,4.931,40.25,102.759,50.743,40.755,,6.0926,101.28,7.7523,1.6216,1.3572
2013-11-27,3027.11,0.3925,3.56,24.7075,,,,1.8,19.4986,50.36,94.98,30.2206,,,46.49,26.604,52.37,134.72,427.93,426.2,57.45,108.74,125.485,84.28,19.336,,40.68,521.5,4.979,40.19,103.227,51.784,40.81,,6.0925,102.16,7.753,1.6287,1.3579
2013-11-28,3046.814,,,24.74,,,,1.79,,,,,,,,,52.67,,425.185,433.0,,,125.53,,,,,519.5,5.047,,102.191,,,,6.0922,102.33,7.7529,1.6343,1.3606
2013-11-29,3039.555,0.39,3.64,24.9237,,,,1.8,19.8596,50.22,94.66,30.0784,,,47.01,26.515,52.26,134.25,423.812,427.4,57.32,108.67,125.41,84.22,19.681,,40.63,520.5,,40.19,102.826,52.257,40.73,,6.093,102.44,7.7528,1.6368,1.3591
